tiempo_permanencia,tiempo_cola_caja,salon,salon_rojo,salon_azul
1182.4395792678406,23.25087955107358,rojo,0,0
,,,0,1
2945.199653328805,40.42483099042374,azul,0,0
,,,1,0
3680.294365022593,40.285557605694066,rojo,0,0
,,,0,1
5631.38047537837,32.53757970670631,azul,0,0
,,,1,0
8605.452548934554,37.875324002254274,rojo,0,0
,,,0,0
,,,0,1
10907.948768290076,27.93153547219117,azul,0,0
,,,0,1
13514.912113618473,44.06128094907399,azul,0,0
